Timestamp,Terminal,MemberId,Action,Result,Message
2026-06-04T16:47:17.38,ADMIN,00003039,READ_STATUS,SUCCESS,Card 00003039 | BackendStatus=ACTIVE | Expiry=20261231 | Package=STANDARD | Blocked=false | Gateway=HARDWARE | CardSession=true | AppletActive=true | AccessCache=SYNCED
2026-06-04T16:47:30.641,AUTH,,LOGIN_MASTER,SUCCESS,Master login successful
2026-06-04T16:47:33.99,ADMIN,00003039,READ_STATUS,SUCCESS,Card 00003039 | BackendStatus=ACTIVE | Expiry=20261231 | Package=STANDARD | Blocked=false | Gateway=HARDWARE | CardSession=true | AppletActive=true | AccessCache=SYNCED
2026-06-04T16:47:39.156,MASTER,00003039,LOAD_ISSUER_DATA,SUCCESS,Issuer public data loaded on hardware card 00003039.
2026-06-04T16:57:10.302,AUTH,,LOGIN_ADMIN,SUCCESS,Admin login successful
2026-06-04T16:57:14.039,ADMIN,00003039,READ_STATUS,SUCCESS,Card 00003039 | BackendStatus=ACTIVE | Expiry=20261231 | Package=STANDARD | Blocked=false | Gateway=SIMULATOR | CardSession=false | AppletActive=false | AccessCache=NOT_SYNCED
2026-06-04T16:57:30.142,AUTH,,LOGIN_ACCESS,SUCCESS,Access login successful
2026-06-04T16:57:34.286,ACCESS,00003039,CHECK_IN_T1,DENIED,ACCESS DENIED: Access terminal cache is not synced. Press Sync Terminals first.
2026-06-04T16:57:35.811,ACCESS,,SYNC_TERMINALS,SUCCESS,Terminal cache synced at 2026-06-04T16:57:35.811 | Active cards: 3 | Blocked cards: 2 | Block version: 2
2026-06-04T16:57:36.494,ACCESS,00003039,CHECK_IN_T1,DENIED,ACCESS DENIED: SIMULATOR card session does not exist. Initialize/select the card first.
2026-06-04T16:57:46.254,AUTH,,LOGIN_MASTER,SUCCESS,Master login successful
2026-06-04T16:57:48.181,MASTER,00003039,INITIALIZE,SUCCESS,Master Terminal initialized simulator card 00003039 with package STANDARD.
2026-06-04T16:57:49.656,MASTER,00003039,PERSONALIZE,SUCCESS,Card 00003039 personalized with package STANDARD.
2026-06-04T16:57:51.489,MASTER,00003039,PERSONALIZE,SUCCESS,Card 00003039 personalized with package STANDARD.
2026-06-04T16:57:52.381,MASTER,00003039,INSTALL_CERTIFICATE,SUCCESS,Certificate installed for simulator card 00003039.
2026-06-04T16:57:57.197,MASTER,00003039,LOAD_ISSUER_DATA,SUCCESS,Issuer public data loaded on simulator card 00003039.
2026-06-04T16:57:58.864,ADMIN,00003039,READ_STATUS,SUCCESS,Card 00003039 | BackendStatus=ACTIVE | Expiry=20261231 | Package=STANDARD | Blocked=false | Gateway=SIMULATOR | CardSession=true | AppletActive=false | AccessCache=SYNCED
2026-06-04T16:58:03.894,AUTH,,LOGIN_ADMIN,SUCCESS,Admin login successful
2026-06-04T16:58:05.103,ADMIN,00003039,ACTIVATE,SUCCESS,Card 00003039 activated until 20261231. Phone linked: N/A
2026-06-04T16:58:16.071,AUTH,,LOGIN_ACCESS,SUCCESS,Access login successful
2026-06-04T16:58:18.398,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by simulator card [00003039]
2026-06-04T16:58:19.086,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by simulator card [00003039]
2026-06-04T16:58:19.387,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by simulator card [00003039]
2026-06-04T16:58:19.546,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by simulator card [00003039]
2026-06-04T16:58:19.695,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by simulator card [00003039]
2026-06-04T16:58:19.823,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by simulator card [00003039]
2026-06-04T16:58:19.967,ACCESS,00003039,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by simulator card [00003039]
2026-06-04T16:58:20.493,ACCESS,00003039,CHECK_IN_T2,SUCCESS,ACCESS GRANTED: Tier 2 access granted by simulator card. DailyCounter=1 [00003039]
2026-06-04T16:58:21.578,ACCESS,00003039,CHECK_IN_T2,SUCCESS,ACCESS GRANTED: Tier 2 access granted by simulator card. DailyCounter=2 [00003039]
2026-06-04T16:58:22.073,ACCESS,00003039,CHECK_IN_T2,DENIED,ACCESS DENIED: Tier 2 step 2 failed with SW=6985 [00003039]
2026-06-04T16:58:38.342,AUTH,,LOGIN_ACCESS,SUCCESS,Access login successful
